SPEAKER_00:  Harry trades the same way he approaches life. Customize, don't compromise. Which is precisely why he uses the TD Active Trader platform. Because in a world of customizations, nothing compares to the deep customization capabilities of the TD Active Trader platform, where even custom customizations are, well, customized. Everything you need to live, breathe, trade. Visit td.com slash active trader to learn more. TD, ready for you.
SPEAKER_12:  Action is trading over there Bye.
SPEAKER_05:  I was concerned with the strength worker!
SPEAKER_09:  It's gonna go ahead and charge up to the personable.
SPEAKER_01:  Oh, why y'all
SPEAKER_09:  So there.
SPEAKER_09:  This one here is going to go ahead and leap.
SPEAKER_09:  and then rush off this direction to go after Grog. This one here is going to...
SPEAKER_09:  and this one here as well.
SPEAKER_11:  I'm so spread out.
SPEAKER_09:  and it's going to hold its action.
SPEAKER_09:  That's right.
SPEAKER_11:  Alright, it's action, I hate that.
SPEAKER_09:  Alright, finishing the strikes go, grogger up with Scanlon on deck.
SPEAKER_10:  Yeah, so when I ran out here, I used my action, my bonus action with my boots and ferro- I'm leaving and I'll use them again. I'm gonna try and leap up onto this platform. Okay. It's there.
SPEAKER_05:  Thank you for joining me.
SPEAKER_05:  Bye!
SPEAKER_05:  Over here.
SPEAKER_10:  So I'm just kind of prop up here. I'm gonna just say I'm up there. I'm gonna take two attacks against this column knowing that the Titanstone Knuckles do siege to. Oh, you do.
SPEAKER_05:  lingo
SPEAKER_05:  Sure.
SPEAKER_05:  Oh, you do. Okay, that's gone.
SPEAKER_10:  Okay, let's go. It makes me so happy.
SPEAKER_05:  Whose head is it?
SPEAKER_10:  AT
SPEAKER_05:  You just said you were a big boy.
SPEAKER_10:  30 to hit? That definitely hits. You can roll damage.
SPEAKER_10:  And the second one is 28 to hit. 28. That's yeah.
SPEAKER_05:  GOshotty xyl warning
SPEAKER_09:  You're still raging from the previous battle? Yes indeed. Not a frenzy or anything. Correct.
SPEAKER_10:  Just 12s
SPEAKER_07:  Just 12s.
SPEAKER_07:  Yes. Who's going to blame blame? It's me, but I've turned my phone in twice.
SPEAKER_11:  There's a little, uh, oh, next one, I'm going to decide.
SPEAKER_10:  That's 27 points of damage on double this one. This is huge. Sorry. 50.
SPEAKER_05:  first one.
SPEAKER_05:  See?
SPEAKER_09:  Four. All right. Hitting impact. The whole pill like, cracks, shh, shh, shh. And the spider up front. About that, right. Shake it. Kick ass. I'm in.
SPEAKER_05:  Take it.
SPEAKER_05:  Because I don't know where to put it in the beacon. It's a magical picture.
SPEAKER_10:  Alright.
SPEAKER_05:  I'm right
SPEAKER_05:  So if that was the first thing.
SPEAKER_10:  56 on the second one.
SPEAKER_05:  Yes.
SPEAKER_09:  killer is destroyed. You want to go ahead and make an acrobatics check for me. Oh yeah.
SPEAKER_05:  We're doing it. We're doing it. We're doing it.
SPEAKER_09:  Be bye! Just no matter the dismount, be point.
SPEAKER_05:  three point
SPEAKER_09:  21.
SPEAKER_09:  21, okay.
SPEAKER_09:  So you managed to touch yourself.
SPEAKER_05:  ** Cyprus IDD
SPEAKER_09:  without taking any like popping ankle a little bit it's gonna hurt in the morning but you're okay
SPEAKER_05:  Thank you very much.
SPEAKER_10:  nice and I will use
SPEAKER_10:  That was my attack, bam, of intersection for the boots. And I was...
SPEAKER_09:  See, after your movement, let's say 20 feet of movement to jump onto the climb up.
SPEAKER_09:  Great. Hello, I'm hitting it.
SPEAKER_10:  I'll do 25 feet just to see if I can see if there's anybody in this tent that's going to make my life miserable. I was sure. Five, 25, can I see you in?
SPEAKER_09:  Sure.
SPEAKER_09:  You glance inside and you see two vanguard.
SPEAKER_09:  Soldiers.
SPEAKER_09:  who are cowering in the corner.
SPEAKER_09:  They're both like, they're shield, they're holding shield, they're having them at the ready, they're weapons, and they're both just kind of like hiding in the corner, and they see you and go.
SPEAKER_08:  If you don't want this, stay inside.
SPEAKER_08:  It's just not.
SPEAKER_09:  It looks young.
SPEAKER_09:  That's cool.
SPEAKER_09:  Alright, that finishes your go. Alright, Groggs done, scaling your up.
SPEAKER_02:  Can I see the beacon?
SPEAKER_09:  from under here, make a perception shy.
SPEAKER_02:  start being good.
SPEAKER_03:  Love you guys!
SPEAKER_09:  15.
SPEAKER_02:  Plus two.
SPEAKER_09:  Not from where you currently are, or at your channel.
SPEAKER_02:  Do I get any advantage or something from all the shit we have? Girl, horse! One of them on the horse eyes!
SPEAKER_03:  we had Dream recap
SPEAKER_03:  I hope you'll horse I see skin.
SPEAKER_05:  Four more dice
SPEAKER_05:  You're a man for his eyes.
SPEAKER_07:  It's because you can only see one side at a time. I'm just gonna have to have a great eyes. Yeah, yeah.
SPEAKER_05:  I got three.
SPEAKER_02:  I can't see it, but it was described to me by someone.
SPEAKER_05:  Yes, yes.
SPEAKER_05:  Yeah, we.
SPEAKER_09:  Um, yeah. So is described to, yeah, from the group.
SPEAKER_02:  and was it described as being high up in the tower mid tower low tower?
SPEAKER_09:  Yeah, it was it was placed higher up in the tower. I've killed it if you watched it. Well, mostly watched it happen. I guess, right? It's right.
SPEAKER_07:  I guess.
SPEAKER_07:  Remember you have freedom and movement, so if we make rough terrain, you're good.
SPEAKER_02:  Great, great.
SPEAKER_02:  All right, I'm just gonna start punching the tower then, right? Cause we gotta get... You need a horse kick.
SPEAKER_03:  We're gonna punch the tower.
SPEAKER_02:  with your hand, with my hand.
SPEAKER_02:  with scalloped hair! I'm gonna cast Scanlan's hand at sixth level.
SPEAKER_02:  Okay, and I'm going to punch the tower.
SPEAKER_05:  A fresh day.
SPEAKER_02:  What the f***sakes
SPEAKER_02:  Punch the towel. The time has come to me.
SPEAKER_03:  The time has come to take the beacon before we destroy the tower. Take it.
SPEAKER_11:  Alright.
SPEAKER_11:  E
SPEAKER_06:  If we get...
SPEAKER_03:  We get up.
SPEAKER_11:  We get the nowhere it is. Yeah, we haven't seen it yet. If we start destroying the tower, we'll figure out where the beacon is. It's like, I saw. I did.
SPEAKER_06:  I don't know where.
SPEAKER_11:  No sense. No sense.
SPEAKER_10:  No sense. I think last time. Ludeness was damn near the top or at least three quarters up. Like where the stairs kind of went to which they fell last time too. So it was hard to, he was floating, which was why I was able to like put it in.
SPEAKER_09:  I think my Scanlan's hand mini that I made all these years ago is somewhere in the other room So I will use this temporary one
SPEAKER_02:  Ashley you have a little hand, a little rubber hand somewhere don't you? I need this one. Okay, that'll work.
SPEAKER_09:  Okay, that'll work. That'll work.
SPEAKER_04:  We know don't you ever fiddin' the dice? It's fine.
SPEAKER_02:  the guys.
SPEAKER_09:  It's fine. Alright, so where do you conjure?
SPEAKER_02:  Alright, so where do you?
SPEAKER_04:  is
SPEAKER_02:  Where do you conjure it? Yeah, like sort of at the same level as that right Lauren who just stepped off. Okay. I can't punch the right Lauren and the tower, right? I'm gonna pick one.
SPEAKER_09:  How many tax do you do you do? What? What? You know you're about to be sure.
SPEAKER_02:  It doesn't mean it's XD, it does your...
SPEAKER_02:  Okay, I will put on you just gonna punch the towel.
SPEAKER_07:  Okay, I will...
SPEAKER_09:  Alright go ahead and roll for attackers.
SPEAKER_07:  Oh my God. Yeah, maybe you can reveal it. Maybe if you're shooting away on it.
SPEAKER_02:  Until next time.
SPEAKER_02:  Um.
SPEAKER_02:  Okay, to hit.
SPEAKER_02:  Oh, fuck, and I've never done this.
SPEAKER_02:  in so many years.
SPEAKER_02:  melee spell attack, okay?
SPEAKER_02:  That's a 16 to hit the tower.
SPEAKER_09:  16, it hits the tower, it impacts it and has the mass of your ark on fist, slams into it. You see the tower kind of like, whatever impact is there, the bloody bridge kind of like flickers for a minute, but then holds it steady. It looks like it doesn't quite enough to leave a heavy impact.
SPEAKER_02:  It has a higher AC than my punch did. Oh, shit.
SPEAKER_10:  How much did you hit it? Was it damaged?
SPEAKER_02:  There was no damage because it has a higher AC than my fist.
SPEAKER_02:  I'm really, really bad. Okay, that's it. I guess...
SPEAKER_09:  That's your action.
SPEAKER_09:  Yes. For.
SPEAKER_02:  Yes.
SPEAKER_02:  If I move, I'll be in the open. That's true. I don't want people to see me. Hold on. Do I have any bonus actions? I must. I have healing word.
SPEAKER_09:  All right.
SPEAKER_02:  I will healing word myself.
SPEAKER_02:  I'm wait, that's a...
SPEAKER_02:  spell can't do.
SPEAKER_02:  Go to it again.
SPEAKER_05:  you
SPEAKER_03:  invisible.
SPEAKER_02:  Now I'm just hiding.
SPEAKER_02:  It's just this entire... I'm just a sweet little scan...
SPEAKER_05:  I'm done.
SPEAKER_03:  We will scan land like...
SPEAKER_02:  I can, I can inspire that.
SPEAKER_03:  but just shitval Oh
SPEAKER_02:  guy now.
SPEAKER_02:  I can't, I can't inspire but there's no one around me to inspire. I'm good, that's it.
SPEAKER_07:  Level 20, baby. All right. Yes, yes. Level 20. Level 20. Here we go. We are. All right.
SPEAKER_02:  arsenal
SPEAKER_02:  Let's go down.
SPEAKER_09:  Thanks all to me
SPEAKER_05:  Bye, everyone! Bye, everyone!
SPEAKER_09:  There we go. All right finishing scan certain it is now the sundarking Ozo Cruth's turn.
SPEAKER_09:  Ozo glancing around from on top, his mount kind of like, let's go the front of the saddle, like, throne that's built onto the back of Scrag, his vidoch. He kind of leans on it on one side and glasses around. And first is gonna go ahead and...
SPEAKER_09:  See the purses engaged there.
SPEAKER_09:  Let's see. We have to tell him when to flew over there. I am behind. Yeah, he's... Mm.
SPEAKER_08:  Yeah, he's...
SPEAKER_09:  Yeah, he sees you, Vex. And the air goes.
SPEAKER_09:  And take his glass sword and release it and it hovers in the air and he goes, and he fires off to you 60 foot length.
SPEAKER_09:  to your orange.
SPEAKER_09:  So, it's going to go ahead and attack you with just a advantage.
SPEAKER_03:  Thanks.
SPEAKER_09:  over here.
SPEAKER_09:  So, um, blow with carnage.
SPEAKER_09:  firing
SPEAKER_03:  To pan into it.
SPEAKER_09:  This is a name of the class.
SPEAKER_03:  I'll go to the name of this word, okay.
SPEAKER_09:  Ah.
SPEAKER_09:  Oh natural 20 and this disadvantage. So it's only gonna be a 22 to hit.
SPEAKER_09:  that it's.
SPEAKER_03:  But...
SPEAKER_03:  I think the Dawnfather would consider him an enemy.
SPEAKER_05:  Oh, yeah.
SPEAKER_03:  same, now we open it up.
SPEAKER_03:  So if he hits me.
SPEAKER_03:  He's going to take 4D6 radiant damage and be knocked prone.
SPEAKER_09:  Hey.
SPEAKER_09:  All right.
SPEAKER_09:  Is it melee or is it any?
SPEAKER_03:  any attack or spell.
SPEAKER_03:  That hits me.
SPEAKER_09:  All right.
SPEAKER_03:  Oh, so.
SPEAKER_09:  So he strikes you with this.
SPEAKER_09:  Take
SPEAKER_09:  Is that a water?
SPEAKER_09:  24 points of slashing damage.
SPEAKER_09:  I feel like...
SPEAKER_09:  and it stabs you in the side as it sticks in. You can feel like the barbed edge of it kind of like put into your flesh.
SPEAKER_03:  Bye.
SPEAKER_03:  Ooh!
SPEAKER_09:  So with armor, but you go ahead and blast him.
SPEAKER_03:  that makes Khariye
SPEAKER_03:  Gah!
SPEAKER_03:  All right, so he takes 46 radiant damage.
SPEAKER_12:  All ready.
SPEAKER_12:  Awesome math. I don't think we should wreck combat board, but ever any attack against someone with holy aura on them, the attacker must succeed on a con save or be blinded until the spell ends.
SPEAKER_12:  Good to know. So go forward. We'll go forward that from now. Back forward.
SPEAKER_12:  Correct.
SPEAKER_12:  That's just a bite of her.
SPEAKER_12:  all, everyone got hit with Harry Ora. So, irrot.
SPEAKER_12:  So.
SPEAKER_05:  Down to you?
SPEAKER_12:  Anytime any of you successfully get hit by an enemy, the enemy has to make a can save versus blindness.
SPEAKER_09:  Blindness, blindness, which would give them disadvantage on tackles, or as they already have against targets with it on there So, what in the mind to make that much of a difference given the circuit? It would be funny to watch you make them blind up. It would be that.
SPEAKER_12:  It would be funny to watch.
SPEAKER_09:  And maybe that will happen. So I'm just going to start again. That was...
SPEAKER_03:  17 radiant damage.
SPEAKER_09:  time. 17 rate and antigen heat. He's blasted back onto his saddle. Spence has a movement to get back up into it.
SPEAKER_03:  you can refresh the information,
SPEAKER_09:  And now the blade is stuck on your side and he goes.
SPEAKER_05:  gimme poll
SPEAKER_09:  and pulls the blade and you with it.
SPEAKER_05:  Oh, shit!
SPEAKER_05:  Be with fishin'.
SPEAKER_05:  yourAh impurities
SPEAKER_09:  You are dragged into me, little hen. Take it now, take it.
SPEAKER_09:  pulls as he drags you up into his face, you can see now the massive size of him. He just almost encompasses the entirety of your perspective. Just blades and armor from a need like the massive war helmet you see as jock and a flute.
SPEAKER_09:  I'm gonna drip with saliva in your head you hear.
SPEAKER_09:  I want to feast too.
SPEAKER_09:  He's going to continue with his actions.
SPEAKER_01:  Please, please, please don't worry.
SPEAKER_09:  He's gonna go ahead and take.
SPEAKER_01:  Yeah, that's one of the...
SPEAKER_09:  That's one attack, he gets...
SPEAKER_04:  I have some lift on the bacon.
SPEAKER_09:  You know what actually, as they pull the blade back, your reaches and pulls.
SPEAKER_09:  out his mace.
SPEAKER_09:  That's all a nasty and barbed bone-graver. And it's gonna go ahead and attack you three times. See the mice?
SPEAKER_05:  Yeah, you guys are horrible. Good to go.
SPEAKER_03:  right
SPEAKER_09:  That's going to be a 21 to hit.
SPEAKER_03:  Does it manage?
SPEAKER_09:  This advantage, yeah.
SPEAKER_03:  this very.
SPEAKER_09:  All right.
SPEAKER_09:  That's going to be a 19-ahead.
SPEAKER_03:  That's gonna be it.
SPEAKER_03:  That misses.
SPEAKER_09:  Okay, so second one misses and
SPEAKER_09:  Oh, two and a three. That's going to be a 16 to hit.
SPEAKER_09:  So one hit with bone graver on you.
SPEAKER_05:  Bone graver
SPEAKER_09:  17 points of bludgeoning damage on you.
SPEAKER_03:  17. Okay, it's like...
SPEAKER_09:  It's like one heavy hit cracks down in your head and shoulders.
SPEAKER_09:  The other one comes at you and you pull back the instinctual need to get away from danger.
SPEAKER_03:  It takes 11 radiant damage from that.
SPEAKER_03:  and is knocked prone.
SPEAKER_09:  So every time you get to hit it. Every time I hit it. Every time I hit it.
SPEAKER_03:  Every time I go.
SPEAKER_09:  Look, it's knocked down again.
SPEAKER_09:  gets back up.
SPEAKER_09:  with the rest of his movement and continues with the next two attacks that miss you.
SPEAKER_09:  Alrighty.
SPEAKER_09:  that is going to finish his turn to something to make.
SPEAKER_12:  for every successful hit.
SPEAKER_12:  I want to act blind.
SPEAKER_09:  Yeah, it's tricky.
SPEAKER_09:  Conceive that's going to be 23. That's a save and 20. That's a save.
SPEAKER_09:  Uh, let's see, he's back at me, he's been, he's been, he's been the last couple of times on you, he goes like,
SPEAKER_09:  And when you start screaming, you see much like his adults, the armored flaps on his neck, kind of streak outward in that loud noise kind of shrill pierces outward, the ground being stuffed.
SPEAKER_09:  when you hear and your head's a little more like.
SPEAKER_09:  Join.
SPEAKER_09:  Join the dinner time. The ground over by Grog.
SPEAKER_09:  Bursts out and you watch this massive strange kind of invertebrate worm-homer creature with spines along its body burst out of the ground and look down.
SPEAKER_02:  Oh God.
SPEAKER_12:  Oh, that is horrific, though. That's a fine place. It's a fine place.
SPEAKER_05:  That was a big LiS
SPEAKER_09:  We all have to take your breath.
SPEAKER_05:  Come on.
SPEAKER_09:  And as the creature turns its head down in your direction, it's now going to open wide and there are dozens of smaller arm-like tendrils like that.
SPEAKER_09:  inside
SPEAKER_05:  No!
SPEAKER_09:  It's gonna go ahead and take its action on you
SPEAKER_05:  Re vout.
SPEAKER_05:  Bye! Bye!
SPEAKER_03:  I think we're better than we are, man.
SPEAKER_12:  That's what the men's told me sex was like.
SPEAKER_09:  I don't know if they know.
SPEAKER_05:  Go!
SPEAKER_09:  While you're not present, this is roughly the size of the tunnel that you guys had walked through on Roodes.
SPEAKER_05:  Oh my god.
SPEAKER_09:  So it's going to go ahead, yeah, four axes. Ozo's bane worm is going to go ahead and make two strikes on you, Grog.
SPEAKER_02:  rep-
SPEAKER_02:  as
SPEAKER_09:  Yes.
SPEAKER_02:  Build their nightmares.
SPEAKER_09:  First is not going you with disadvantage. Okay. It is going to be a little bit. 19 ahead.
SPEAKER_05:  Yeah? So that is our other asset. What is it? I didn't.
SPEAKER_02:  is going to be over there.
SPEAKER_09:  Oh, that's amazing. Yeah, so that hits you. You take...
SPEAKER_05:  Go to door 3.
SPEAKER_05:  That is awesome. So.
SPEAKER_09:  that's gonna show you all.
SPEAKER_09:  FUCK THE RIGHT
SPEAKER_05:  All right.
SPEAKER_09:  29 points piercing damage, reduced to half, because you're raging.
SPEAKER_09:  Is that being eaten?
SPEAKER_09:  Uh, no. No. 14. 14 points to you. Yeah.
SPEAKER_09:  succeed on a dexterity save for me if you don't mind. Yes.
SPEAKER_10:  18.
SPEAKER_09:  18th, 18th.
SPEAKER_09:  Asi.
SPEAKER_09:  Masha's towards you and the hands reach for you, you can feel like the ends of these weird, like, finger tendrils that come out of its mouth are all serrated, like, dragging across your flesh, which is where all the pureity damage comes from, and its mouth begins to close around you, but in that moment where the darkness almost swallows you whole, you pull out of the way, Masha's towards being consumed.
SPEAKER_09:  Neil F hood
SPEAKER_12:  and enlarged ground. I can't do it. See you later.
SPEAKER_10:  You within five feet of me or is he like this crazy 15 foot like I mean he merged you know right next to you Could I use my reaction to use a retaliation?
SPEAKER_05:  Right, indeed. Yes, you can. Yes, you can. Yes, you can.
SPEAKER_10:  Yes, you can.
SPEAKER_10:  And this thing.
SPEAKER_10:  us. 16, that's 22.
SPEAKER_10:  26 to hit. It's okay, great. It's just one.
SPEAKER_10:  So that is...
SPEAKER_05:  Oh yeah, 11, 721.
SPEAKER_05:  One 27.
SPEAKER_10:  Plus 4, 31 points of damage with 4 points of necrotic damage.
SPEAKER_09:  Heavy strike carbs through and the kind of parts of it's like exposed body comes to send out this really Think almost like maple syrup consistency Acre the kind of scatters across this darkens it immediately on contact It's coming back for more
SPEAKER_05:  See ya!
SPEAKER_09:  At that point, it's going to use second attack to use bane spines. Its body all looks like armored body like pulls in tight and contracts before releasing and you watch as a number of its exterior spines.
SPEAKER_09:  Shoot off in a 15 foot radius.
SPEAKER_04:  Yes, Mike.
SPEAKER_09:  since you're the only one with networking put radius, make another dexterity safe for you.
SPEAKER_12:  Did the little...
SPEAKER_09:  little back
SPEAKER_09:  on the other side of it.
SPEAKER_09:  that guy.
SPEAKER_12:  And...
SPEAKER_09:  is you know what that guy is
SPEAKER_09:  Oh, he's just out. He's about 20 feet away. Yeah, 19, 16, so you're going to take half in it and we're not poison.
SPEAKER_12:  The glass that wrinkles on this side of the worm are nauseous. Yes, yes.
SPEAKER_09:  Got a glass.
SPEAKER_09:  I know.
SPEAKER_12:  Check out our address forworthiness.
SPEAKER_09:  23, reduced to half because you're succeeded would be 11, reduced to half because you are raging so you take 5 points of piercing.
SPEAKER_09:  That's gonna finish. Vorax turn, sir, Congress, you're up with Pike on Dead. I'm dead.
SPEAKER_05:  lets go! Old
SPEAKER_06:  I'm present. Yeah, yeah. It's all.
SPEAKER_06:  Oh, no.
SPEAKER_06:  Oh, yeah now, looks cool.
SPEAKER_06:  If I use my movement to kind of mantle this wall and kind of try to climb the world.
SPEAKER_06:  Two meetings this way where do you want to go? Yeah, yeah, yeah, yeah, yeah, basically right there. Yeah, yeah, yeah So it just kind of looks like that wall is on fire as it just kind of lands up on there And I like to try to get within like maybe like 15 feet of him sort of like to probably get like right Yeah face to face and then he's just gonna sort of raise his big firearms out and you just see these little sparks
SPEAKER_07:  Wait, where do you win? Fire. Yeah, yeah, yeah.
SPEAKER_06:  and five little fireballs kind of shoot up. And as you see it, it kind of materializes, because I'm going to cast at level five conjure animals.
SPEAKER_06:  And they take the form of these little paragrin falcons.
SPEAKER_12:  Well Kev
SPEAKER_12:  Passes bird on planet. It's 246 miles per hour!
SPEAKER_05:  It's 246 miles per hour baby alert
SPEAKER_06:  Maybe you'll look it up.
SPEAKER_09:  That's getting more things on the board. I can take a theater of mine. I never know.
SPEAKER_06:  Oh my god. Oh my god.
SPEAKER_06:  I can take a theater of mine. There's no note in the comments.
SPEAKER_09:  So I'll let's go. I can make this work.
SPEAKER_10:  SR-71 Blackbird intake turbines after the Paragon's Falcon's nostril. Okay, let me see. Yeah, that's pretty.
SPEAKER_09:  Yes.
SPEAKER_10:  We're done.
SPEAKER_03:  It'soey drink. The flesh with ripping off by the body
SPEAKER_04:  I'm gonna be faster. I'm gonna be faster. I'm gonna be faster.
SPEAKER_04:  That's all I did.
SPEAKER_11:  It went glutated.
SPEAKER_11:  Well, military fact that's a bird. Here we go. We use all these little...
SPEAKER_06:  I'm sure sure they're my little homies and if I if I move up my turn while I can I can send them within What would send them out like up to 30 feet? I think we're up to here. Yeah, I'm gonna send them like
SPEAKER_06:  This is with... I'm showing me nothing. With... With back's there, it's tough. I wanna try to sort of like send them bombing in a line, kind of like right in my back. So where they're gonna avoid hitting backs, but potentially have to make...
SPEAKER_05:  Ready, go.
SPEAKER_06:  The Thunder King and his mount do like the deck save sure. Yeah. Yeah. So it would be when they come with intent feed of omits 19 decks
SPEAKER_09:  Alright, so, you're gonna go ahead and take his for each one of them.
SPEAKER_06:  So.
SPEAKER_06:  I think so.
SPEAKER_09:  We'll be the bridge.
SPEAKER_12:  I have like, for milliurs, and I do the help action.
SPEAKER_06:  It's basically like, can just move them. And then they take X amount of damage. And then we're going to be facing what level I set them up. OK.
SPEAKER_05:  So whenever your pack was within 10 feet of a...
SPEAKER_06:  you can see when...
SPEAKER_06:  I'll create you. I wonder if that's one or two.
SPEAKER_09:  Well, it's a creature, any creature in the creature.
SPEAKER_06:  creature. Any creature.
SPEAKER_06:  I'll pick the...
SPEAKER_06:  Yeah, this is the Sunder King for sure.
SPEAKER_09:  Well, it's been a bit of a creature, meaning if it moves through multiple. It's a make sense to it. OK, cool. All right, so the 100 people will do first. 19 decks, save.
SPEAKER_06:  Okay, yeah.
SPEAKER_09:  19 deck save.
SPEAKER_08:  I'll just real find that.
SPEAKER_09:  That's for me.
SPEAKER_09:  Okay, the ones that look viable are going to be 20 and a 22.
SPEAKER_06:  Oh yeah, they both same.
SPEAKER_09:  Okay, the others are gonna be the highest as a 15.
SPEAKER_06:  That one does not. Yeah.
SPEAKER_09:  So three them go through.
SPEAKER_09:  The next damage is that to him.
SPEAKER_06:  In my pink hole fur.
SPEAKER_06:  Oh wait.
SPEAKER_06:  I think it's one total for the whole pack.
SPEAKER_06:  Yeah, it's one deck save for the whole pack.
SPEAKER_09:  Got it. Okay. Yeah.
SPEAKER_06:  Okay, yeah.
SPEAKER_09:  That's gonna be an eight.
SPEAKER_06:  That one fails.
SPEAKER_09:  Yep.
SPEAKER_06:  So then it's uh, it's 5, 5 D10.
SPEAKER_09:  Go ahead and roll 5D 10 fire. Last year. Then I'm off for the... Oh, it's a natural two for... Let's just grab. So both of them take the fire damage.
SPEAKER_06:  14, 14, 19, 23, 24, and it's me.
SPEAKER_06:  It's actually technically, uh...
SPEAKER_09:  I can check the green one.
SPEAKER_06:  I think it's slashing.
SPEAKER_06:  It was a flashing damage. It was a flashing damage. Okay, that's fine. We'll take a flashing damage.
SPEAKER_09:  As you all argue by the book.
SPEAKER_09:  The belated movement of these incredibly fast creatures that you've seen.
SPEAKER_09:  are can be passed and through and are floating now around the wings. The strange, vamed wings of Scrag that are just currently flying at the moment. The bleeding, like, streaks by an Ozo. Like, boom.
SPEAKER_09:  looks up and sees you and it just doesn't seem to pay minor than the wounds it took. And it's like it has one eye on you before the other brings to shift back towards Vexalia with his mason his right hand. It kind of gives you a little bit of with this with this belated arm kind of like a...
SPEAKER_08:  Can you just stag
SPEAKER_09:  Come hither, hand motion.
SPEAKER_03:  I'll see you before you move on.
SPEAKER_03:  the blade that's through me right now.
SPEAKER_09:  Yes.
SPEAKER_09:  He pulled it free from me.
SPEAKER_09:  Essentially, when you drag you in, the cycle will be pulling the blade back and pull you with a pull that out as you arrive in it. I think it would be the same.
SPEAKER_03:  I can call you.
SPEAKER_05:  Thank you. We've got it. Thank you.
SPEAKER_09:  Yeah, all right, so that's gonna go ahead and...
SPEAKER_09:  Finish that action. That's your turn. Yeah, that ends up for me. All right, great. Finishing your up. Pike your up.
SPEAKER_04:  Alright, so what I would like to do.
SPEAKER_04:  Um, by Ashley Johnson.
SPEAKER_05:  biologists say that they'll be delved
SPEAKER_04:  All right.
SPEAKER_04:  I'm over here. Okay, so if I...
SPEAKER_04:  I would like to...
SPEAKER_04:  Yeah, I kinda wanna stay stucked.
SPEAKER_05:  Uh-huh.
SPEAKER_04:  But I want to do a sunburst on the...
SPEAKER_04:  the Malius key. Okay, so.
SPEAKER_09:  Okay, so what's the range on that?
SPEAKER_04:  It is 150 feet, but it's a 60.
SPEAKER_04:  Foot radius.
SPEAKER_09:  Yeah, 150 feet. This is 85.
SPEAKER_04:  It's...
SPEAKER_09:  man, but you can...
SPEAKER_09:  You'd have to get a little bit closer to that rain.
SPEAKER_04:  Okay, I'll get I'll get I'll get with the range but
SPEAKER_03:  I'll get with Ben Ray.
SPEAKER_09:  We 20 feet this way, getting arranged. Can you be just out of the combat range of...
SPEAKER_09:  I'll do it. All right, so, Marche, if you can move the pipe.
SPEAKER_04:  I'll do it.
SPEAKER_04:  Alright, so.
SPEAKER_09:  four spaces this way at an angle.
SPEAKER_04:  to treat four. I have a 40 feet of movement with the wings.
SPEAKER_09:  one more.
SPEAKER_09:  Correct, do you want to keep moving or do you want to stay quick?
SPEAKER_04:  you want to stay for.
SPEAKER_04:  No, okay, I'll stay there. Okay.
SPEAKER_09:  Okay. Okay.
SPEAKER_04:  So, where are where's Team Malius key around there?
SPEAKER_09:  From what you can see, you only want the UC is flying on this side. You see the conjured three-headed raven of Leavitell, currently flying up on this side of the tower.
SPEAKER_04:  well, you can.
SPEAKER_04:  breakthroughity.
SPEAKER_04:  Okay, because if there's some way I can do this without hitting everybody and just focusing on
SPEAKER_04:  The milliose key I would like to try.
SPEAKER_09:  So you are focusing in like this area, it's 60 foot radius yourself. Yeah. All right. So you want to kind of like flash out from the top. Yeah.
SPEAKER_04:  magazine briefly.
SPEAKER_09:  Flash up from the top 60 foot radius.
SPEAKER_04: unsapers on slack pray for the top.
SPEAKER_11:  60 foot radius.
SPEAKER_09:  That's gonna be probably right there.
SPEAKER_09:  Okay. You're missing. You're missing. We have a telenerk Andrei, which you're hitting everything else in this area. Including.
SPEAKER_05:  See you now.
SPEAKER_04:  Okay. Nine goes.
SPEAKER_09:  Not Hoseo, but you are getting his... A drag!
SPEAKER_05:  ABERT CAR Christ
SPEAKER_09:  Conduct out, out
SPEAKER_04:  That's it.
SPEAKER_04:  Alright, hey, what do you think? Okay, help me with some math.
SPEAKER_10:  We got you.
SPEAKER_05:  What's bowels?
SPEAKER_04:  That's 12 D6 radio damage.
SPEAKER_05:  That's 12 Ds.
SPEAKER_05:  I will lean on Patty
SPEAKER_10:  Fuck! Okay, okay, okay. Okay, okay. Okay. Hey, mine isn't trying. Hey, do you go...
SPEAKER_03:  thank god
SPEAKER_03:  the Everlight bless us on this day.
SPEAKER_04:  of what models roles.
SPEAKER_04:  Oh, okay, so we got it.
SPEAKER_10:  by the time.
SPEAKER_04:  What are the fucking timey ass? I'm sorry, I know.
SPEAKER_10:  V
SPEAKER_02:  Okay, 20. Where are they adding?
SPEAKER_02:  This combat is brought to you by WizKids and their Bells Hells box set available now and hence your home games with critical role minis by WizKids available at WizKids.io slash CR minis and...
SPEAKER_02:  your local game store.
SPEAKER_04:  Alright, that's 32 points of radiant damage.
SPEAKER_09:  Do two points of radiant damage. All right, let's go ahead and roll for everybody that's in that radius. So we'll start with Scrag over here. Take that. 32 you said.
SPEAKER_09:  All right, natural one.
SPEAKER_05:  Congratulations. .32 points. Whoops.
SPEAKER_09:  All right, thanks.
SPEAKER_09:  Oh sorry, I've read an image. This guy here in the front.
SPEAKER_09:  That's going to be 19.
SPEAKER_04:  Does it just makes it?
SPEAKER_09:  Yes.
SPEAKER_09:  So don't you just pull these in? Yeah.
